"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp2274_c0_seq1"	75533,3835789925	1,21058569016025	0,212414131654354	5,69917679549755	1,20387328145679e-08	2,42685566261924e-08
"comp31319_c0_seq1"	367,624609575693	-26,649024105342	4,70276363561569	-5,66667308208297	1,45596752465471e-08	2,91193504930942e-08
"comp23364_c0_seq1"	363,35600496406	-26,618773906106	4,71167063685084	-5,64954046191508	1,60877316749679e-08	3,19240925425145e-08
"comp36139_c0_seq1"	267,28566375482	-26,5163439108885	4,71166812186573	-5,62780383190243	1,82518486801466e-08	3,59377485640097e-08
"comp227_c0_seq3"	77127,9709411841	-0,74724549797358	0,133431701045047	-5,60020963624908	2,1409273699187e-08	4,18304270737961e-08
"comp17875_c0_seq1"	155,56205614119	-25,8563575570402	4,71170529746898	-5,48768565192938	4,07233923991491e-08	7,89598600716327e-08
"comp36310_c0_seq1"	307,279081291318	-25,7222293323526	4,71170270619294	-5,45922163097089	4,78226488727557e-08	9,20223698006057e-08
"comp8507_c0_seq3"	321412,425700321	1,89230689378639	0,349961769439548	5,40718175250073	6,4024165364093e-08	1,22271714304358e-07
"comp309_c0_seq1"	752440,133081081	2,48485304390434	0,469440594766052	5,29322148874381	1,20180215929672e-07	2,27804289896543e-07
"comp3047_c0_seq1"	10219,9309600374	-1,99551601984265	0,379018967850085	-5,26495027719021	1,40227304892152e-07	2,63835077352642e-07
"comp4293_c0_seq1"	16131,6426632271	1,14909840673719	0,218918739758974	5,2489723264547	1,52950047454665e-07	2,85656706275623e-07
"comp1496_c0_seq2"	16770,8725638241	-1,36796336505322	0,261397391760873	-5,23327090541376	1,66536381141682e-07	3,08760881824724e-07
"comp4078_c0_seq1"	21584,4791916426	-0,935135307126131	0,180897512824185	-5,16942047752194	2,34821027869703e-07	4,32206819412351e-07
"comp8507_c0_seq7"	55044,4727871959	1,89714023843051	0,373275176558621	5,08241736276447	3,72661455158902e-07	6,80978486405476e-07
"comp477_c1_seq1"	238157,583929293	1,69523137268617	0,335650145784146	5,05059030654007	4,40446822553382e-07	7,99096378061136e-07
"comp75_c0_seq1"	213490,015745772	-0,891432409896186	0,178378429579044	-4,99742268165429	5,81016225134042e-07	1,04665334173083e-06
"comp144_c0_seq1"	118405,058251185	-1,0954743071785	0,223301694165088	-4,90580383312549	9,30454837397505e-07	1,66433470914765e-06
"comp13899_c0_seq1"	5948,17821044429	-1,47107091318171	0,30235301015496	-4,86540852504747	1,14220630383099e-06	2,02881399421728e-06
"comp37911_c0_seq1"	103,11439404184	-22,7839314562468	4,71235301756175	-4,83493731716126	1,33187597055427e-06	2,34928122583877e-06
"comp7267_c1_seq1"	13178,8796528776	-1,2467693566331	0,264561548982914	-4,71258715193572	2,44591417094861e-06	4,28456689255825e-06
"comp272_c0_seq1"	125346,879108265	-1,03454535424885	0,22495566231275	-4,59888559199965	4,24756952506643e-06	7,38960725593748e-06
"comp310_c0_seq3"	74544,0827262001	-0,786549704250173	0,171774982660582	-4,57895376886371	4,67307460835712e-06	8,07456428927012e-06
"comp1119_c0_seq1"	51725,8037474791	-0,681820753400533	0,150067477590052	-4,54342782560192	5,53467610552023e-06	9,49870088379823e-06
"comp9495_c0_seq1"	11996,3133899544	-1,45634504367677	0,324639983442252	-4,48603104347999	7,25621736909606e-06	1,23696591392644e-05
"comp3391_c0_seq1"	126844,850510293	1,63146056237704	0,364531641950439	4,47549780218762	7,62334831399024e-06	1,29088698116901e-05
"comp3048_c0_seq1"	5613,34456432963	1,34686467402406	0,305779907383405	4,40468664389804	1,05936897615474e-05	1,78198490028678e-05
"comp2196_c0_seq1"	893691,793658433	1,76102999606553	0,401110323061458	4,39038811722555	1,13148522030587e-05	1,89077135498481e-05
"comp9722_c0_seq1"	9468,27561273013	-0,864705998873066	0,199876526034271	-4,32620086024911	1,51703099534798e-05	2,51846975698291e-05
"comp72_c0_seq2"	82334,4943919847	-0,656533938400257	0,153281227545091	-4,28319859460364	1,84225600103964e-05	3,03852613158487e-05
"comp6132_c0_seq1"	14912,7703657403	1,18666134119353	0,282411005439107	4,20189482116126	2,64690114968705e-05	4,33750252916458e-05
"comp1827_c0_seq1"	28283,7033392181	-0,544781173370226	0,129709786357145	-4,20000054483335	2,66914338035878e-05	4,34591293981494e-05
"comp3946_c0_seq1"	12169,8286069257	-1,17137923112933	0,280465035546339	-4,17656064987748	2,95949859800552e-05	4,78797862352485e-05
"comp1644_c0_seq1"	181336,775745697	1,07347230974103	0,257495868465985	4,16889139284512	3,0608478864076e-05	4,92060356422487e-05
"comp468_c0_seq1"	133406,735342127	-0,841624355299666	0,202743117423511	-4,15118582566525	3,30757072409647e-05	5,28379222591512e-05
"comp866_c0_seq1"	76657,4584147136	0,83545886212411	0,201934801400031	4,13727032850109	3,51461953276827e-05	5,57945850826963e-05
"comp72_c0_seq4"	75858,9009709874	-0,762825782193206	0,196764314306565	-3,87685025550263	0,000105817438412877	0,000166941797247644
"comp8614_c0_seq1"	11760,4411211168	-0,966623944036934	0,253917650109859	-3,80684030282542	0,000140753569247409	0,000220687694992851
"comp591_c0_seq4"	25989,3047299803	-2,34489455596102	0,623348734872087	-3,76176997686888	0,000168715176476893	0,000262905857822889
"comp14573_c0_seq1"	11861,0226858718	0,875528186395803	0,23442590600846	3,73477573918049	0,00018788253597154	0,000290988805712019
