 "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp18253_c0_seq1"	507,309216723803	-26,3939053113372	4,71167060754552	-5,6018146236854	2,12119342708003e-08	5,21075776652268e-08
"comp36139_c0_seq1"	238,424616217811	-26,2869448132571	4,71166715235485	-5,57911753170406	2,41741863469607e-08	5,90634174531148e-08
"comp327_c0_seq3"	69115,5697660525	-1,34828110493728	0,242059749355307	-5,57003429330253	2,54689200952438e-08	6,18922144250011e-08
"comp989_c0_seq2"	35353,1285217729	-0,639058231003967	0,115809915703852	-5,51816506488235	3,42557602120239e-08	8,28000193360149e-08
"comp559_c0_seq4"	89471,9953082173	-1,01188223300162	0,183617804322162	-5,51080673650928	3,57192750454272e-08	8,58782570241123e-08
"comp21657_c0_seq1"	264,188539843593	-25,9041581733594	4,71168002906344	-5,49786021410041	3,84427469842919e-08	9,19371515179891e-08
"comp866_c0_seq1"	79125,5872978363	1,20480428955698	0,219670191018041	5,48460528018583	4,14393638096666e-08	9,8582065484049e-08
"comp1074_c0_seq1"	32379,1328980789	-0,936758418180296	0,171939650609361	-5,44818146867453	5,08874252800554e-08	1,20424692285786e-07
"comp17813_c0_seq5"	1713,46874483198	-13,105159703176	2,41085540767448	-5,43589618085692	5,45216954123347e-08	1,28353157949871e-07
"comp422_c0_seq1"	176753,672354152	-0,874803463494606	0,161416619881806	-5,41953774112706	5,97533351832364e-08	1,39940453382502e-07
"comp27608_c0_seq1"	7077,68480024635	1,65957745006733	0,306485122998005	5,41487114882941	6,13328568064218e-08	1,42899233384034e-07
"comp23364_c0_seq1"	325,615251511301	-25,4738728412546	4,71167009790936	-5,40654848745836	6,425083951034e-08	1,48930151070121e-07
"comp477_c1_seq4"	205579,567753264	2,0003593270493	0,370520449904596	5,39878251676625	6,70946481786436e-08	1,54728474371158e-07
"comp36310_c0_seq1"	277,939449945248	-25,4223307296499	4,7117032734693	-5,39557125186517	6,83058789890223e-08	1,56722118289533e-07
"comp17875_c0_seq1"	136,601748073361	-25,4096460997019	4,7117051329796	-5,39287696970826	6,93384301889829e-08	1,58287729522325e-07
"comp6132_c0_seq1"	15583,2955130844	1,56096027420465	0,291568688711014	5,35366222314693	8,61916901902539e-08	1,95772080231129e-07
"comp1268_c0_seq2"	22373,5948293378	-1,6358439725236	0,306131910828479	-5,34359181340014	9,11226406750537e-08	2,05937167925621e-07
"comp841_c0_seq1"	84775,4807766069	-0,973722331812057	0,182522899155833	-5,33479544931357	9,56523240120398e-08	2,15098758474836e-07
"comp403_c0_seq1"	110214,825391427	-0,903457653738926	0,169917294717076	-5,31704353722935	1,05466839894799e-07	2,35995107091333e-07
